iter	Passed	Remaining
399	66765	183603
400	66896	183338
401	67077	183210
402	67261	183090
403	67414	182885
404	67595	182758
405	67758	182580
406	67934	182437
407	68104	182278
408	68290	182163
409	68442	181956
410	68616	181809
411	68793	181669
412	68949	181473
413	69116	181306
414	69253	181059
415	69452	180978
416	69626	180827
417	69801	180682
418	69969	180518
419	70107	180277
420	70277	180117
421	70469	180013
422	70637	179849
423	70798	179666
424	70977	179532
425	71145	179366
426	71313	179203
427	71478	179030
428	71655	178887
429	71800	178665
430	71971	178510
431	72113	178279
432	72251	178041
433	72419	177878
434	72572	177676
435	72738	177508
436	72907	177346
437	73098	177238
438	73287	177126
439	73460	176972
440	73624	176799
441	73803	176660
442	73984	176527
443	74166	176396
444	74325	176209
445	74502	176067
446	74664	175888
447	74837	175735
448	75002	175563
449	75148	175347
450	75319	175188
451	75479	175004
452	75638	174819
453	75798	174636
454	75977	174496
455	76153	174352
456	76328	174202
457	76507	174063
458	76691	173935
459	76853	173755
460	77009	173563
461	77193	173434
462	77348	173239
463	77509	173059
464	77682	172905
465	77849	172738
466	78009	172555
467	78160	172352
468	78311	172151
469	78474	171975
470	78631	171787
471	78790	171602
472	78958	171438
473	79103	171224
474	79274	171065
475	79452	170922
476	79622	170762
477	79780	170577
478	79948	170411
479	80117	170250
480	80252	170014
481	80426	169864
482	80616	169746
483	80805	169624
484	80956	169423
485	81113	169236
486	81299	169110
487	81440	168888
488	81576	168658
489	81746	168498
490	81900	168303
491	82072	168147
492	82239	167981
493	82389	167780
494	82564	167630
495	82729	167461
496	82905	167312
497	83055	167111
498	83203	166906
499	83370	166740
500	83538	166577
501	83715	166430
502	83903	166305
503	84078	166154
504	84253	166004
505	84439	165876
506	84614	165723
507	84788	165570
508	84973	165439
509	85114	165222
510	85314	165119
511	85490	164970
512	85660	164808
513	85836	164659
514	86012	164509
515	86198	164379
516	86373	164227
517	86555	164087
518	86697	163872
519	86859	163696
520	87036	163549
521	87206	163387
522	87368	163211
523	87529	163031
524	87673	162822
525	87826	162628
526	87989	162454
527	88154	162284
528	88322	162119
529	88485	161944
530	88647	161769
531	88810	161594
532	88977	161428
533	89116	161210
534	89277	161033
535	89443	160865
536	89635	160743
537	89789	160552
538	89969	160408
539	90132	160236
540	90320	160106
541	90480	159926
542	90670	159799
543	90849	159654
544	91062	159568
545	91245	159429
546	91412	159262
547	91598	159128
548	91772	158971
549	91959	158839
550	92154	158719
551	92330	158568
552	92478	158367
553	92644	158198
554	92839	158078
555	93022	157936
556	93181	157756
557	93368	157622
558	93541	157464
559	93709	157297
560	93882	157140
561	94043	156962
562	94202	156781
563	94392	156651
564	94578	156515
565	94747	156349
566	94932	156211
567	95119	156075
568	95291	155915
569	95452	155737
570	95663	155640
571	95847	155501
572	96035	155365
573	96229	155241
574	96426	155120
575	96603	154967
576	96802	154849
577	97007	154742
578	97173	154571
579	97345	154409
580	97537	154280
581	97722	154138
582	97904	153993
583	98092	153856
584	98279	153719
585	98470	153587
586	98678	153480
