district,neighborhood,room,living room,area (m2),age,floor,price
Şişli,Harbiye Mah.,3,1,130,45,1,35000
Ataşehir,İçerenköy Mah.,2,1,98,4,5,27500
Sarıyer,Maslak Mah.,1,1,85,15,20,55000
Esenyurt,Cumhuriyet Mah.,2,1,180,6,11,25000
Kağıthane,Hamidiye Mah.,2,1,130,2,6,80000
Üsküdar,Bulgurlu Mah.,2,1,100,17,2,27000
Beykoz,Çamlıbahçe Mah.,2,1,130,25,1,25000
Bahçelievler,Bahçelievler Mah.,3,1,140,32,4,35000
Kadıköy,Zühtüpaşa Mah.,2,1,80,31,1,32000
Sarıyer,Maden Mah.,3,1,154,0,4,65000
Bakırköy,Zuhuratbaba Mah.,1,1,65,0,1,32000
Şişli,Mecidiyeköy Mah.,2,1,145,6,11,100000
Sarıyer,Fatih Sultan Mehmet Mah.,3,1,150,34,3,30000
Beşiktaş,Bebek Mah.,2,1,140,31,3,143830
Sarıyer,Ayazağa Mah.,2,1,120,16,9,32000
Kağıthane,Merkez Mah.,2,1,145,1,6,74000
Eyüpsultan,Göktürk Merkez Mah.,2,1,120,14,2,65000
Beşiktaş,Levent Mah.,3,1,290,5,13,170000
Bağcılar,100. Yıl Mah.,1,1,80,5,3,13000
Sarıyer,Tarabya Mah.,2,1,120,25,3,75000
Bağcılar,Güneşli Mah.,2,1,80,25,0,14000
Beykoz,Kavacık Mah.,2,1,95,30,2,15000
Esenyurt,Necip Fazıl Kısakürek Mah.,2,1,110,9,2,13500
Beylikdüzü,Adnan Kahveci Mah.,4,1,100,9,7,25000
Kadıköy,Acıbadem Mah.,3,1,120,35,2,10000
Sultanbeyli,Mehmet Akif Mah.,2,1,85,25,4,20000
Başakşehir,Altınşehir Mah.,2,1,80,0,0,12000
Beyoğlu,Katip Mustafa Çelebi Mah.,2,1,75,40,2,30000
Sultangazi,Gazi Mah.,2,1,85,1,2,24500
Kadıköy,Osmanağa Mah.,1,1,65,30,3,27500
Şişli,Mecidiyeköy Mah.,1,0,50,4,2,30000
Beyoğlu,Kocatepe Mah.,2,1,110,25,4,40000
Eyüpsultan,Silahtarağa Mah.,1,1,65,15,-1,14000
Esenyurt,Şehitler Mah.,2,1,140,9,1,10000
Beykoz,Kavacık Mah.,3,1,110,21,6,30000
Sarıyer,Zekeriyaköy Mah.,8,2,575,11,0,250000
Güngören,Mehmet Nesih Özmen Mah.,3,1,135,21,2,40000
Kağıthane,Sultan Selim Mah.,1,1,60,26,5,13000
Esenyurt,Akevler Mah.,3,1,130,5,5,19000
Kartal,Hürriyet Mah.,1,1,85,26,0,12000
Avcılar,Denizköşkler Mah.,2,1,85,12,0,16500
Sancaktepe,Akpınar Mah.,3,1,118,5,1,19500
Kadıköy,Suadiye Mah.,4,1,163,26,9,79410
Beşiktaş,Gayrettepe Mah.,3,1,145,31,1,48000
Esenyurt,Güzelyurt Mah.,3,1,165,23,5,20000
Sarıyer,Büyükdere Mah.,3,1,185,25,2,50000
Bahçelievler,Siyavuşpaşa Mah.,2,1,85,35,2,15000
Esenyurt,Zafer Mah.,3,1,110,7,20,15000
Esenyurt,Güzelyurt Mah.,2,1,82,10,0,12000
Avcılar,Üniversite Mah.,2,1,100,8,2,6500
Sarıyer,Maslak Mah.,3,1,160,5,6,74999
Üsküdar,Bahçelievler Mah.,1,1,80,24,0,35000
Beyoğlu,Hüseyinağa Mah.,1,0,40,120,2,25000
Eyüpsultan,Karadolap Mah.,2,1,85,0,0,19000
Bakırköy,Zeytinlik Mah.,3,1,120,31,1,30000
Maltepe,Küçükyalı Mah.,3,1,130,30,3,35000
Eyüpsultan,Emniyettepe Mah.,2,1,90,1,2,28000
Beşiktaş,Dikilitaş Mah.,2,1,65,5,1,45000
Beylikdüzü,Barış Mah.,3,1,145,25,3,25000
Çekmeköy,Mehmet Akif Mah.,2,1,100,4,1,24500
Sancaktepe,Abdurrahmangazi Mah.,2,1,100,26,1,15000
Eyüpsultan,Karadolap Mah.,2,1,90,8,3,30000
Şişli,Mecidiyeköy Mah.,1,0,40,11,1,19000
Bakırköy,Yeşilköy Mah.,2,1,100,40,2,50000
Pendik,Kaynarca Mah.,2,1,100,10,3,25000
Ataşehir,İçerenköy Mah.,3,1,160,21,2,30000
Beşiktaş,Dikilitaş Mah.,2,1,80,25,3,35000
Beykoz,Yeni Mahalle Mah.,3,1,110,11,1,19000
Sarıyer,Reşitpaşa Mah.,3,1,110,30,1,25000
Kartal,Hürriyet Mah.,1,1,90,22,1,15000
Zeytinburnu,Gökalp Mah.,2,1,85,30,2,30000
Fatih,Şehremini Mah.,3,1,130,31,1,25000
Gaziosmanpaşa,Karadeniz Mah.,1,1,88,5,20,30000
Güngören,Tozkoparan Mah.,3,1,120,28,9,28000
Çekmeköy,Reşadiye Mah.,5,1,900,16,0,105000
Sarıyer,Tarabya Mah.,3,1,140,25,3,60000
Kağıthane,Emniyet Evleri Mah.,1,1,150,5,10,90000
Bakırköy,Şenlikköy Mah.,4,2,350,26,2,125000
Maltepe,Fındıklı Mah.,1,1,55,12,0,13500
Beykoz,Gümüşsuyu Mah.,1,1,60,30,1,16000
Beyoğlu,Firuzağa Mah.,3,1,130,30,4,40000
Zeytinburnu,Seyitnizam Mah.,2,1,110,23,3,14000
Beykoz,Çubuklu Mah.,2,1,140,18,4,30000
Şişli,Merkez Mah.,2,1,130,5,21,100000
Ataşehir,Atatürk Mah.,3,1,117,12,21,60000
Sarıyer,Maslak Mah.,1,1,88,5,8,55000
Beşiktaş,Vişnezade Mah.,4,1,360,10,9,300000
Bahçelievler,Yenibosna Merkez Mah.,3,1,152,5,6,50000
Kağıthane,Hamidiye Mah.,2,1,130,2,8,80000
Kartal,Kordonboyu Mah.,1,0,53,5,12,37500
Sarıyer,Tarabya Mah.,3,1,135,25,3,31250
Avcılar,Cihangir Mah.,3,1,115,25,1,15000
Maltepe,Büyükbakkalköy Mah.,1,1,45,4,1,17500
Sarıyer,Tarabya Mah.,2,1,145,5,4,81400
Şişli,Fulya Mah.,1,1,100,7,11,65000
Kadıköy,Suadiye Mah.,3,1,185,34,5,65000
Bakırköy,Şenlikköy Mah.,5,1,350,17,4,170000
Sarıyer,Ayazağa Mah.,1,1,64,5,10,34000
Eyüpsultan,Mimar Sinan Mah.,2,1,80,6,0,45000
Kağıthane,Şirintepe Mah.,1,1,25,30,0,6000
Bağcılar,Merkez Mah.,1,1,65,26,4,11250
Şişli,Fulya Mah.,2,1,100,11,2,46000
Sultangazi,Sultançiftliği Mah.,1,1,85,24,4,14000
Zeytinburnu,Gökalp Mah.,2,1,80,30,5,15000
Şişli,İnönü Mah.,1,1,40,50,-1,14000
Şişli,Kuştepe Mah.,2,1,95,18,5,18000
Beyoğlu,Tomtom Mah.,2,1,120,96,5,95000
Başakşehir,Altınşehir Mah.,2,1,90,4,0,13000
Beyoğlu,Hüseyinağa Mah.,1,1,55,50,4,20000
Ataşehir,Kayışdağı Mah.,3,1,135,10,2,30000
Ataşehir,Küçükbakkalköy Mah.,3,1,155,9,2,65000
Sarıyer,Zekeriyaköy Mah.,2,0,210,7,5,120000
Beykoz,Çubuklu Mah.,3,1,120,21,2,15000
Üsküdar,Acıbadem Mah.,3,1,135,21,2,50000
Avcılar,Denizköşkler Mah.,2,1,90,30,0,12000
Kağıthane,Şirintepe Mah.,1,1,75,21,1,23000
Kağıthane,Seyrantepe Mah.,1,1,70,26,4,15000
Beyoğlu,Kamer Hatun Mah.,1,0,32,26,1,18000
Esenler,Menderes Mah.,2,1,70,5,0,15750
Fatih,Seyyid Ömer Mah.,1,1,65,35,1,17000
Küçükçekmece,Cennet Mah.,3,1,120,22,4,27000
Kadıköy,19 Mayıs Mah.,3,1,222,4,15,74900
Kadıköy,Kozyatağı Mah.,3,1,150,30,4,34000
Sarıyer,Maden Mah.,2,1,75,28,0,25000
Beylikdüzü,Barış Mah.,1,1,75,4,5,18000
Ataşehir,İçerenköy Mah.,2,1,100,27,4,35000
Esenyurt,Akevler Mah.,1,1,75,10,2,12500
Büyükçekmece,Çakmaklı Mah.,1,1,86,0,1,23000
Fatih,Koca Mustafapaşa Mah.,3,1,105,50,2,27000
Fatih,Koca Mustafapaşa Mah.,2,1,60,45,1,15000
Kağıthane,Çağlayan Mah.,2,1,105,15,2,25000
Beyoğlu,Firuzağa Mah.,1,1,35,40,2,30000
Şişli,Gülbahar Mah.,3,1,130,15,5,35000
Fatih,Sümbül Efendi Mah.,2,1,70,31,0,15000
Şişli,Merkez Mah.,2,1,150,30,2,41000
Maltepe,İdealtepe Mah.,4,1,181,0,4,80000
Pendik,Yenişehir Mah.,2,1,95,21,3,21000
Şişli,Merkez Mah.,2,1,95,25,0,25000
Beşiktaş,Vişnezade Mah.,3,1,125,31,1,47500
Şişli,İnönü Mah.,1,1,55,31,1,24000
Fatih,Mevlanakapı Mah.,2,1,65,35,5,10000
Çekmeköy,Çatalmeşe Mah.,2,1,82,5,1,15500
Beylikdüzü,Yakuplu Mah.,1,1,95,4,5,20000
Üsküdar,Beylerbeyi Mah.,2,0,140,0,2,120000
Bahçelievler,Soğanlı Mah.,2,1,80,35,2,18000
Beyoğlu,Bereketzade Mah.,2,1,100,50,2,50000
Kağıthane,Çağlayan Mah.,2,1,85,3,2,23500
Beyoğlu,Cihangir Mah.,1,1,110,25,4,35000
Avcılar,Ambarlı Mah.,3,1,140,30,4,20500
Beykoz,Acarlar Mah.,3,1,120,26,1,105000
Bayrampaşa,Altıntepsi Mah.,1,1,65,5,2,30000
Ataşehir,Küçükbakkalköy Mah.,1,1,70,2,9,44000
Eyüpsultan,Akşemsettin Mah.,2,1,80,16,1,16000
Beşiktaş,Vişnezade Mah.,3,1,262,15,7,240000
Zeytinburnu,Kazlıçeşme Mah.,4,1,310,2,1,145000
Güngören,Tozkoparan Mah.,3,1,120,28,9,28000
Beşiktaş,Levent Mah.,4,1,220,11,11,175000
Bakırköy,Şenlikköy Mah.,4,2,350,26,2,125000
Beykoz,Kavacık Mah.,3,1,180,17,7,60000
Esenyurt,İncirtepe Mah.,2,1,95,10,5,11000
Şişli,Gülbahar Mah.,2,1,80,21,5,18000
Beşiktaş,Sinanpaşa Mah.,2,1,90,26,1,30000
Kağıthane,Çağlayan Mah.,1,1,50,12,2,24000
Ümraniye,Hekimbaşı Mah.,2,1,70,21,-2,13500
Eyüpsultan,Karadolap Mah.,2,1,80,0,1,18000
Sarıyer,Maslak Mah.,1,1,95,5,21,52500
Kadıköy,Osmanağa Mah.,1,1,50,23,3,23000
Avcılar,Tahtakale Mah.,2,1,70,0,0,18000
Sarıyer,Emirgan Mah.,2,1,90,30,0,32000
Sarıyer,Zekeriyaköy Mah.,3,1,116,28,2,45000
Maltepe,Altıntepe Mah.,3,1,110,21,4,35000
Beşiktaş,Akat Mah.,4,1,240,26,8,225000
Beşiktaş,Akat Mah.,4,1,228,25,1,175000
Kağıthane,Çağlayan Mah.,1,0,65,0,3,22000
Kartal,Kordonboyu Mah.,2,1,72,0,4,35000
Bayrampaşa,Muratpaşa Mah.,2,1,90,32,1,18000
Beylikdüzü,Cumhuriyet Mah.,3,1,210,8,4,35000
Sarıyer,Maslak Mah.,3,1,185,8,21,95000
Küçükçekmece,Yeşilova Mah.,2,1,120,21,3,24000
Sarıyer,Zekeriyaköy Mah.,1,1,89,4,0,55000
Beykoz,Rüzgarlıbahçe Mah.,2,1,100,21,1,28000
Adalar,Burgazada Mah.,1,1,60,45,0,25000
Küçükçekmece,Yeşilova Mah.,1,1,60,8,0,15000
Beylikdüzü,Kavaklı Mah.,1,1,65,0,0,15000
Küçükçekmece,Kanarya Mah.,1,1,75,40,0,10000
Küçükçekmece,Cennet Mah.,3,1,150,35,2,25000
Kağıthane,Hamidiye Mah.,2,1,145,2,3,75000
Kartal,Soğanlık Yeni Mah.,1,1,70,16,15,28000
Avcılar,Cihangir Mah.,2,1,85,24,4,15000
Küçükçekmece,Atakent Mah.,3,1,132,16,7,36000
Kağıthane,Şirintepe Mah.,2,1,85,16,-2,16000
Kağıthane,Emniyet Evleri Mah.,2,1,77,5,2,25500
Sarıyer,İstinye Mah.,3,1,122,30,2,20000
Beşiktaş,Yıldız Mah.,2,1,176,3,0,115000
Büyükçekmece,Mimar Sinan Merkez Mah.,3,1,180,15,0,6000
Şişli,19 Mayıs Mah.,1,0,120,20,3,11000
Esenyurt,Cumhuriyet Mah.,1,1,101,11,12,19000
Sarıyer,Zekeriyaköy Mah.,2,1,160,7,1,85000
Beşiktaş,Bebek Mah.,3,1,147,31,0,99880
Sarıyer,Ayazağa Mah.,2,1,100,10,2,42000
Beşiktaş,Levent Mah.,3,1,400,5,21,280000
Fatih,İskenderpaşa Mah.,1,1,60,40,1,15000
Eyüpsultan,Emniyettepe Mah.,2,1,90,2,1,24000
Beylikdüzü,Adnan Kahveci Mah.,3,1,230,7,4,40000
Sarıyer,Yeniköy Mah.,2,1,100,30,0,36000
Gaziosmanpaşa,Merkez Mah.,1,1,70,25,0,7500
Bakırköy,Kartaltepe Mah.,1,1,65,50,2,15000
Şişli,Eskişehir Mah.,1,1,65,50,1,10000
Üsküdar,Barbaros Mah.,3,1,130,11,3,65000
Beşiktaş,Ortaköy Mah.,2,1,90,10,1,28000
Beyoğlu,Yenişehir Mah.,2,1,80,35,3,16000
Beyoğlu,Cihangir Mah.,1,0,50,20,2,20000
Kağıthane,Seyrantepe Mah.,2,1,100,21,2,22000
Sarıyer,Maslak Mah.,1,1,75,6,10,50000
Şişli,Mecidiyeköy Mah.,3,1,100,16,-2,20000
Büyükçekmece,Kumburgaz Mah.,2,1,110,5,0,18000
Avcılar,Cihangir Mah.,2,1,60,14,0,13500
Küçükçekmece,Cennet Mah.,3,1,120,22,4,27000
Beşiktaş,Ulus Mah.,3,1,250,29,0,140000
Sarıyer,Uskumruköy Mah.,4,2,435,4,0,150000
Üsküdar,Zeynep Kamil Mah.,3,1,120,31,0,25000
Kadıköy,Kozyatağı Mah.,3,1,135,2,5,55000
Beylikdüzü,Adnan Kahveci Mah.,2,1,116,6,10,26000
Sarıyer,Ayazağa Mah.,3,1,184,5,5,120000
Beyoğlu,Katip Mustafa Çelebi Mah.,2,1,120,30,1,38000
Beyoğlu,Kalyoncu Kulluğu Mah.,1,1,50,70,5,25000
Sarıyer,Maslak Mah.,2,1,158,5,16,65000
Esenyurt,Zafer Mah.,1,1,75,7,2,12000
Beykoz,Merkez Mah.,3,1,120,25,1,15000
Kağıthane,Ortabayır Mah.,2,1,80,25,1,25000
Küçükçekmece,Beşyol Mah.,2,1,90,25,3,20000
Sultanbeyli,Adil Mah.,2,1,128,5,2,33000
Esenyurt,Akevler Mah.,4,2,200,21,5,23500
Gaziosmanpaşa,Karadeniz Mah.,1,1,85,8,13,27900
Beyoğlu,Hüseyinağa Mah.,1,0,40,120,4,25000
Bağcılar,Yıldıztepe Mah.,3,1,140,26,2,18500
Fatih,Haseki Sultan Mah.,2,1,100,45,3,23000
Beyoğlu,Firuzağa Mah.,1,0,26,38,3,25000
Kartal,Uğur Mumcu Mah.,1,1,58,5,1,23500
Beşiktaş,Gayrettepe Mah.,3,1,160,26,3,55000
Avcılar,Denizköşkler Mah.,1,1,88,28,3,14000
Bakırköy,Şenlikköy Mah.,5,2,350,26,2,90000
Beşiktaş,Vişnezade Mah.,3,1,290,5,7,300000
Şişli,Harbiye Mah.,1,1,55,31,2,29000
Esenyurt,Akevler Mah.,2,1,115,5,2,20000
Avcılar,Ambarlı Mah.,3,1,135,30,2,18500
Kadıköy,Erenköy Mah.,2,1,130,30,3,27000
Beykoz,Çubuklu Mah.,2,1,80,26,1,30000
Kağıthane,Hamidiye Mah.,3,1,120,27,-1,35000
Zeytinburnu,Çırpıcı Mah.,2,1,85,25,2,20000
Beykoz,Ortaçeşme Mah.,2,0,75,25,0,13000
Şişli,Mecidiyeköy Mah.,1,1,65,16,5,20000
Bakırköy,Kartaltepe Mah.,2,1,100,26,2,36000
Sarıyer,Maslak Mah.,3,1,170,12,2,90000
Bakırköy,Ataköy 1. Kısım Mah.,4,1,159,39,9,60000
Kağıthane,Nurtepe Mah.,2,2,90,9,1,25000
Beşiktaş,Sinanpaşa Mah.,1,1,70,15,2,40000
Şişli,Merkez Mah.,2,1,95,30,0,25000
Beşiktaş,Levent Mah.,3,1,365,5,21,250000
Beşiktaş,Etiler Mah.,2,1,100,0,4,120000
Avcılar,Tahtakale Mah.,2,1,95,31,0,5000
Bahçelievler,Zafer Mah.,2,1,100,31,2,12500
Sarıyer,Maden Mah.,2,1,77,0,2,50000
Beykoz,Kavacık Mah.,1,1,95,18,1,15000
Sarıyer,Maslak Mah.,3,1,175,10,9,85000
Bağcılar,Mahmutbey Mah.,3,1,110,22,3,18000
Esenler,Havaalanı Mah.,2,1,120,16,4,20000
Beyoğlu,Piyalepaşa Mah.,1,1,80,26,3,14000
Fatih,Mevlanakapı Mah.,2,1,85,31,3,20000
Kağıthane,Nurtepe Mah.,2,1,95,5,1,25500
Beşiktaş,Nisbetiye Mah.,5,1,346,0,20,285000
Maltepe,Küçükyalı Mah.,2,1,90,15,0,29000
Ataşehir,Kayışdağı Mah.,1,1,50,10,2,22000
Kağıthane,Hamidiye Mah.,2,1,146,2,10,80000
Beykoz,Riva Mah.,2,1,80,21,0,20000
Silivri,Selimpaşa Mah.,2,1,105,21,1,22000
Sarıyer,Zekeriyaköy Mah.,1,1,55,30,1,25000
Beşiktaş,Yıldız Mah.,2,1,143,0,2,140000
Şişli,19 Mayıs Mah.,2,1,120,26,5,30000
Eyüpsultan,Göktürk Merkez Mah.,1,1,60,1,2,35000
Bayrampaşa,Muratpaşa Mah.,2,1,80,26,0,18000
Beşiktaş,Gayrettepe Mah.,2,1,86,7,1,44000
Sarıyer,Maslak Mah.,4,1,255,10,2,125000
Kağıthane,Talatpaşa Mah.,1,1,75,3,6,25000
Şişli,Fulya Mah.,2,1,145,5,11,100000
Bakırköy,Şenlikköy Mah.,3,1,110,32,0,35000
Gaziosmanpaşa,Yıldıztabya Mah.,1,1,65,5,2,20000
Başakşehir,Kayabaşı Mah.,2,1,85,10,3,19000
Beykoz,Merkez Mah.,1,1,50,28,0,12500
Esenyurt,Mehterçeşme Mah.,2,1,110,8,1,17000
Kadıköy,Kozyatağı Mah.,3,1,130,30,9,12000
Beykoz,Acarlar Mah.,1,1,110,0,21,65000
Beşiktaş,Bebek Mah.,2,1,100,31,2,80000
Şişli,Eskişehir Mah.,1,1,60,45,2,16500
Kağıthane,Çağlayan Mah.,2,1,90,9,1,20000
Bahçelievler,Soğanlı Mah.,3,1,100,30,5,26000
Bakırköy,Ataköy 7-8-9-10. Kısım Mah.,1,1,71,4,2,38000
