feature,importance_mean,importance_std
feature_4,0.1458374631045709,0.0042877124718474985
feature_22,0.10000448356206808,0.005006550765783769
feature_5,0.07353726215936307,0.0037085912104045
feature_23,0.03712304152273978,0.002651155172928393
feature_6,0.021675097280402806,0.0018928410032683373
feature_10,0.019511654059434048,0.0025629696431124288
feature_24,0.013740063360288306,0.0010981702538293784
feature_8,0.01172717822903685,0.0008935653329559892
feature_11,0.008217511752305192,0.0013387863378472068
feature_30,0.005533901651825301,0.0007752233603757855
feature_12,0.0034338566712587585,0.0008260461549124602
feature_7,0.002973155435023622,0.0006235961467556327
feature_2,0.0027326896101032144,0.0008952038114426413
feature_20,0.0024789170248562,0.0005346839051849853
feature_31,0.002402116335756746,0.0006099368391043085
feature_19,0.0019504000791669863,0.0004953689945601558
feature_26,0.0019472413679446437,0.000495428480873038
feature_1,0.00156361919895599,0.0005389526639205313
feature_18,0.0014100302255819375,0.0003432708491333619
feature_13,0.0012894023950731804,0.0002660858591695681
feature_28,0.0012489784463583758,0.0004226606264138807
feature_32,0.0011836683123513769,0.0004031511969964092
feature_14,0.001031973072996975,0.00030080154110751406
feature_25,0.0009938092648021785,0.0002926076228162964
feature_15,0.0008346529611850617,0.00016851390064582733
feature_27,0.0005957208049434615,0.00019689867176438523
feature_3,0.0005365071703344104,0.00019932531896271093
feature_0,0.00030381282364401186,0.00019134784664939707
feature_9,0.00020186112766388541,0.00018704935743576648
feature_16,0.00012429944828463714,0.00014081508228132786
feature_17,0.0,0.0
feature_21,0.0,0.0
feature_29,0.0,0.0
feature_33,0.0,0.0
