feature,importance_mean,importance_std
feature_4,0.1423728750559285,0.004368509654375539
feature_22,0.13511093999074997,0.00664616904177714
feature_5,0.062296074568038894,0.0028518640466172014
feature_23,0.02957817614563555,0.00248872259237234
feature_6,0.017695260794901753,0.0018214252646498647
feature_24,0.016443365502862375,0.0011188777814362112
feature_10,0.01581134374028627,0.002325351637721226
feature_8,0.009838629082381745,0.001158969597395822
feature_11,0.005390869678735419,0.0009719221241612437
feature_12,0.00424228651574462,0.0009894655133198425
feature_30,0.001975489704984096,0.00037946481837027377
feature_7,0.001974440464424229,0.0005039344115154471
feature_32,0.0015190584589372751,0.00028169091438840795
feature_20,0.0015027737884515141,0.00024772193707766303
feature_2,0.001435951646297015,0.0003900122485350914
feature_26,0.001405698620869708,0.0004274542005871754
feature_31,0.0013414156147322192,0.0002171865182086016
feature_28,0.0009464743230199107,0.0003190347063256147
feature_14,0.0008607388628457197,0.00014754296910178172
feature_27,0.0008474986222571756,0.00021009634607135975
feature_18,0.0008317651607501392,0.00028800398575721126
feature_21,0.0007680679627952769,0.00018871357327514016
feature_17,0.0007301704002685788,0.00018889990219279207
feature_0,0.0006595977817755533,0.00013005248352896816
feature_33,0.0005161350805844095,0.00019263306237940773
feature_13,0.0004847759252095296,0.00015748126428618165
feature_1,0.00044404226143191785,0.00012404767868553682
feature_16,0.0003791408908300098,0.00019272323214209993
feature_9,0.0003423113127739463,0.00015148909039061477
feature_15,0.00026756138968082877,9.882183174978852e-05
feature_25,0.0002521802971400422,0.00014619125737673914
feature_19,0.000207470739795243,0.00021100634993809997
feature_3,0.00020021465004510796,0.00012973506093428018
feature_29,0.00017670164746229344,0.00017185666695791006
